1	2	3	4	5	6	7	8	9
		POS_FUND_000745018084_17	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	241822.3734
		POS_FUND_000895105511_65	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_002265045726_08	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	0
		POS_FUND_001185009595_95	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_000065019000_19	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_006135008522_34	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_000995510553_02	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	0
		POS_FUND_006345002551_20	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	3864.5252
		POS_FUND_000245008066_53	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_007765000674_19	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	399647.6957
		POS_FUND_007385068977_11	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_006055009196_07	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_007135120256_10	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	241299.8317
		POS_FUND_500000135461_02	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_707	24795.8475
		POS_FUND_000785010094_22	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_000265019595_31	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
		POS_FUND_007355003773_41	10/14/2017	10/14/2017	10/14/2017		ASSET_FUND_699	0
